label,Ed (eV),T (K),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
Ga2O3_O,14.0,0,8,4,0.6,2.01,5.89,15.999,48
GaAs_As,14.3,0,33,4,0.5,2.49,5.05,74.921595,114
GaAs_As,10.0,77,33,4,0.5,2.49,5.05,74.921595,114
GaAs_Ga,14.05,0,31,4,0.5,2.49,5.05,69.723,136
GaN_Ga,73.2,100,31,4,0.5,1.96,6.08,69.723,136
GaN_Ga,19.0,293,31,4,0.5,1.96,6.08,69.723,136
GaN_N,32.4,100,7,4,0.5,1.96,6.08,14.007,56
Gd2Ti2O7_Gd,84.0,30,64,8,0.18,2.44,6.56,157.25,233
Gd2Ti2O7_Gd,84.0,300,64,8,0.18,2.44,6.56,157.25,233
Gd2Ti2O7_O,52.0,30,8,4,0.64,2.24,6.56,15.999,48
Gd2Ti2O7_O,52.0,300,8,4,0.64,2.24,6.56,15.999,48
Gd2Ti2O7_Ti,205.0,30,22,6,0.18,1.97,6.56,47.867,176
Gd2Ti2O7_Ti,205.0,300,22,6,0.18,1.97,6.56,47.867,176
Gd2Zr2O7_Gd,72.0,30,64,8,0.18,2.48,6.84,157.25,233
Gd2Zr2O7_Gd,72.0,300,64,8,0.18,2.48,6.84,157.25,233
Gd2Zr2O7_O,52.0,30,8,4,0.64,2.32,6.84,15.999,48
Gd2Zr2O7_O,41.0,300,8,4,0.64,2.32,6.84,15.999,48
Gd2Zr2O7_Zr,121.0,30,40,6,0.18,2.09,6.84,91.224,206
Gd2Zr2O7_Zr,121.0,300,40,6,0.18,2.09,6.84,91.224,206
Ge_Ge,20.0,293,32,4,1.0,2.46,5.323,72.63,125
Ge_Ge,14.5,300,32,4,1.0,2.46,5.323,72.63,125
HfO2_O,14.0,293,8,4,0.67,2.14,10.63,15.999,48
Ir_Ir,46.0,35,77,12,1.0,2.73,22.56,192.217,180
KCl_K,27.5,331,19,6,0.5,3.14,2.0,39.0983,243
La2Zr2O7_La,5.4,293,57,8,0.181818182,2.565,6.02,138.90547,240
La2Zr2O7_La,153.0,350,57,8,0.181818182,2.565,6.02,138.90547,240
La2Zr2O7_O,47.0,293,8,4,0.636363636,2.45125,6.02,15.999,48
La2Zr2O7_O,49.33333333,350,8,4,0.636363636,2.45125,6.02,15.999,48
La2Zr2O7_Zr,8.2,293,40,6,0.181818182,2.11,6.02,91.224,206
La2Zr2O7_Zr,188.0,350,40,6,0.181818182,2.11,6.02,91.224,206
LaPO4_La,56.0,300,57,9,0.17,2.64,5.07,138.90547,240
LaPO4_O,8.0,300,8,4,0.66,2.1,5.07,15.999,48
LaPO4_P,75.0,300,15,4,0.17,1.54,5.07,30.973762,98
LiAlO2_Al,79.0,0,13,6,0.25,1.91,3.44,26.9815384,118
LiAlO2_Li,28.0,0,3,6,0.25,2.09,3.44,6.94,167
LiAlO2_O,52.0,0,8,6,0.5,2.0,3.44,15.999,48
LiF_Li,1.64,77,3,6,0.5,2.04,2.53,6.94,167
LiFe5O8_Fe,31.6,0,26,5,0.36,2.0,4.5,55.845,156
LiFe5O8_Li,38.9,0,3,6,0.07,2.13,4.5,6.94,167
LiFe5O8_O,34.6,0,8,4,0.57,2.07,4.5,15.999,48
LiNbO3_O,53.0,288,8,3,0.6,2.1,4.39,15.999,48
Lu_Lu,17.0,4.15,71,12,1.0,3.46,9.841,174.9668,217
MgAl2O4_O,59.0,77,8,4,0.571428571,1.92,3.58,15.999,48
MgO_Mg,85.0,0,12,6,0.5,2.1,3.63,24.305,145
MgO_Mg,115.0,10,12,6,0.5,2.1,3.63,24.305,145
MgO_Mg,34.0,1000,12,6,0.5,2.1,3.63,24.305,145
MgO_Mg,62.0,293,12,6,0.5,2.1,3.63,24.305,145
MgO_Mg,61.0,300,12,6,0.5,2.1,3.63,24.305,145
MgO_O,80.0,0,8,6,0.5,2.1,3.63,15.999,48
MgO_O,63.4,10,8,6,0.5,2.1,3.63,15.999,48
MgO_O,51.0,1000,8,6,0.5,2.1,3.63,15.999,48
MgO_O,75.0,293,8,6,0.5,2.1,3.63,15.999,48
MgO_O,91.0,300,8,6,0.5,2.1,3.63,15.999,48
MgO_O,60.0,78,8,6,0.5,2.1,3.63,15.999,48
Mg_Mg,11.33333333,293,12,12,1.0,3.17,1.738,24.305,145
Mg_Mg,10.0,4.2,12,12,1.0,3.17,1.738,24.305,145
MoZr_Mo,34.0,4.5,42,8,1.0,2.74,10.02,95.95,190
Mo_Mo,34.0,107,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,34.0,149,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,33.0,199,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,37.0,20,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,32.0,246,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,30.0,297,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,36.25,300,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,38.0,4.2,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,28.0,496,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,27.0,668,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,34.0,69,42,8,1.0,2.74,10.28,95.95,190
Mo_Mo,26.0,800,42,8,1.0,2.74,10.28,95.95,190
NaCl_Cl,41.0,0,17,6,0.5,2.79,2.22,35.45,79
NaCl_Cl,22.5,331,17,6,0.5,2.79,2.22,35.45,79
NaCl_Na,28.0,0,11,6,0.5,2.79,2.22,22.98976928,190
NaCl_Na,80.0,331,11,6,0.5,2.79,2.22,22.98976928,190
Nb3Ge_Ge,15.0,20,32,12,0.25,2.89,8.44,72.63,125
Nb3Ge_Nb,19.0,20,41,6,0.75,2.79,8.44,92.90637,198
NbZr_Nb,28.0,4.5,41,8,1.0,2.87,8.45,92.90637,198
Nb_Nb,36.0,24,41,8,1.0,2.87,8.57,92.90637,198
Nb_Nb,32.0,300,41,8,1.0,2.87,8.57,92.90637,198
Nb_Nb,41.0,50,41,8,1.0,2.87,8.57,92.90637,198
Nb_Nb,39.0,600,41,8,1.0,2.87,8.57,92.90637,198
Ni3Al_Al,47.5,0,13,12,0.25,2.49,7.71,26.9815384,118
Ni3Al_Al,44.0,100,13,12,0.25,2.49,7.71,26.9815384,118
Ni3Al_Al,30.0,21,13,12,0.25,2.49,7.71,26.9815384,118
Ni3Al_Ni,38.230000000000004,0,28,12,0.75,2.49,7.71,58.6934,149
Ni3Al_Ni,36.0,100,28,12,0.75,2.49,7.71,58.6934,149
Ni3Al_Ni,24.0,21,28,12,0.75,2.49,7.71,58.6934,149
NiAl6_Al,22.0,21,13,12,0.06,2.46,9.29,26.9815384,118
NiAl6_Ni,23.0,21,28,12,0.94,2.46,9.29,58.6934,149
NiCo_Co,38.0,0,27,8,0.5,2.43,8.88,58.933194,152
NiCo_Ni,35.67,0,28,8,0.5,2.43,8.88,58.6934,149
Ni_Ni,35.0,0,28,12,1.0,2.46,8.908,58.6934,149
Ni_Ni,50.5,10,28,12,1.0,2.46,8.908,58.6934,149
Ni_Ni,24.0,20,28,12,1.0,2.46,8.908,58.6934,149
Ni_Ni,22.0,23,28,12,1.0,2.46,8.908,58.6934,149
Pb_Pb,7.5,8-165,82,12,1.0,3.53,11.34,207.2,154
Pd_Pd,34.0,9,46,12,1.0,2.77,12.023,106.42,169
SiC_C,21.06833333333333,0,6,4,0.5,1.89,3.23,12.011,67
SiC_C,36.25,10,6,4,0.5,1.89,3.23,12.011,67
SiC_C,25.5,100,6,4,0.5,1.89,3.23,12.011,67
SiC_C,49.5,150,6,4,0.5,1.89,3.23,12.011,67
SiC_C,33.0,185,6,4,0.5,1.89,3.23,12.011,67
SiC_C,21.8,293,6,4,0.5,1.89,3.23,12.011,67
SiC_C,32.621818181818185,300,6,4,0.5,1.89,3.23,12.011,67
SiC_C,16.3,55,6,4,0.5,1.89,3.23,12.011,67
SiC_Si,54.46666666666667,0,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,48.75,10,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,46.2,100,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,74.5,150,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,97.0,220,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,25.0,293,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,49.26636363636363,300,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,92.6,55,14,4,0.5,1.89,3.23,28.085,111
SiC_Si,110.0,890,14,4,0.5,1.89,3.23,28.085,111
SiO2_O,29.0,0,8,2,0.67,1.6,2.63,15.999,48
SiO2_O,32.5,77,8,2,0.67,1.6,2.63,15.999,48
SiO2_Si,71.0,0,14,4,0.33,1.6,2.63,28.085,111
SiO2_Si,20.0,77,14,4,0.33,1.6,2.63,28.085,111
Si_Si,14.31625,0,14,12,1.0,2.7,2.33,28.085,111
Si_Si,22.0,245,14,12,1.0,2.7,2.33,28.085,111
Si_Si,12.9,300,14,12,1.0,2.7,2.33,28.085,111
SmS_S,90.0,21,16,5,0.5,2.8,3.7,32.06,88
SmS_Sm,20.0,21,62,5,0.5,2.8,3.7,150.36,238
Sn_Sn,22.0,4.2,50,6,1.0,3.1,7.31,118.71,145
SrO_O,67.0,0,8,6,0.5,2.58,4.99,15.999,48
SrO_Sr,49.0,0,38,6,0.5,2.58,4.99,87.62,219
SrTiO3_O,36.0,0,8,6,0.6,2.5,5.0368915,15.999,48
SrTiO3_O,45.0,293,8,6,0.6,2.5,5.0368915,15.999,48
SrTiO3_O,50.0,300,8,6,0.6,2.5,5.0368915,15.999,48
SrTiO3_Sr,54.0,0,38,12,0.2,2.77,5.0368915,87.62,219
SrTiO3_Sr,70.0,300,38,12,0.2,2.77,5.0368915,87.62,219
SrTiO3_Ti,140.0,300,22,6,0.2,1.96,5.0368915,47.867,176
Ta0.70W0.30_Ta,68.0,0,73,4,0.7,2.78,17.99,180.94788,200
Ta0.75W0.25_Ta,72.0,0,73,4,0.75,2.78,17.99,180.94788,200
Ta0.80W0.20_Ta,76.0,0,73,4,0.8,2.78,17.99,180.94788,200
Ta0.85W0.15_Ta,70.0,0,73,4,0.85,2.78,17.99,180.94788,200
Ta0.90W0.10_Ta,65.0,0,73,4,0.9,2.78,17.99,180.94788,200
Ta0.95W0.05_Ta,50.0,0,73,4,0.95,2.78,17.99,180.94788,200
TaC0.8_C,28.0,21,6,6,0.45,2.23,14.37,12.011,67
TaC0.8_Ta,32.0,21,73,6,0.65,2.23,14.37,180.94788,200
TaC_C,16.0,21,6,6,0.5,2.23,14.37,12.011,67
TaC_C,23.0,293,6,6,0.5,2.23,14.37,12.011,67
TaC_Ta,33.5,21,73,6,0.5,2.23,14.37,180.94788,200
TaS2_S,14.0,21,16,3,0.67,2.47,6.66,32.06,88
TaS3_Ta,16.0,21,73,8,0.25,2.53,5.88,180.94788,200
Ta_Ta,60.0,0,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,21.0,105,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,19.0,150,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,19.0,190,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,18.0,279,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,44.5,293,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,18.0,300,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,32.0,4.5,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,45.5,5,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,22.0,51,73,8,1.0,2.87,16.65,180.94788,200
Ta_Ta,32.0,6,73,8,1.0,2.87,16.65,180.94788,200
ThO2_O,25.17,100,8,4,0.67,2.43,9.98,15.999,48
ThO2_Th,54.5,100,90,8,0.33,2.43,9.98,232.0377,237
Th_Th,35.0,10,90,12,1.0,3.57,11.724,232.0377,237
Ti3SiC2_C,28.0,0,6,6,0.33,2.19,4.5,12.011,67
Ti3SiC2_Si,31.0,0,14,6,0.17,2.7,4.5,28.085,111
Ti3SiC2_Ti,26.0,0,22,6,0.5,2.4,4.5,47.867,176
TiO2_O,40.0,160,8,3,0.666666667,1.96,4.24,15.999,48
TiO2_O,39.0,293,8,3,0.666666667,1.96,4.24,15.999,48
TiO2_O,19.0,300,8,3,0.666666667,1.96,4.24,15.999,48
TiO2_Ti,105.0,160,22,6,0.333333333,1.96,4.24,47.867,176
TiO2_Ti,49.16666667,293,22,6,0.333333333,1.96,4.24,47.867,176
TiO2_Ti,69.0,300,22,6,0.333333333,1.96,4.24,47.867,176
Ti_Ti,29.0,0,22,14,1.0,2.99,4.507,47.867,176
Ti_Ti,31.0,100,22,14,1.0,2.99,4.507,47.867,176
Ti_Ti,19.0,293,22,14,1.0,2.99,4.507,47.867,176
U1_U,71.0,300,92,8,1.0,2.48,19.05,238.02891,240
U1_U,66.3,600,92,8,1.0,2.48,19.05,238.02891,240
U2_U,51.96666666666667,800,92,8,1.0,2.9,21.15,238.02891,240
UO2_O,32.5,1500,8,4,0.67,2.36,11.06,15.999,48
UO2_O,20.0,293,8,4,0.67,2.36,11.06,15.999,48
UO2_O,20.0,300,8,4,0.67,2.36,11.06,15.999,48
UO2_U,42.5,1500,92,8,0.33,2.36,11.06,238.02891,240
UO2_U,40.0,293,92,8,0.33,2.36,11.06,238.02891,240
UO2_U,50.0,300,92,8,0.33,2.36,11.06,238.02891,240
V0.8Cr0.1Ti0.1_V,28.0,300,23,6,0.8,2.6,6.2,50.9415,171
V0.9Cr0.05Ti0.05_V,38.0,300,23,6,0.9,2.6,6.2,50.9415,171
V0.9Cr0.1_V,30.0,300,23,8,0.9,2.51,7.01,50.9415,171
V0.9Ti0.1_V,30.0,300,23,8,0.9,2.7,5.39,50.9415,171
VZr_V,25.0,4.5,23,8,1.0,2.58,6.38,50.9415,171
V_V,26.0,20,23,8,1.0,2.58,6.11,50.9415,171
V_V,34.33,293,23,8,1.0,2.58,6.11,50.9415,171
V_V,29.276666666666667,300,23,8,1.0,2.58,6.11,50.9415,171
W_W,53.666666666666664,10,74,8,1.0,2.75,19.25,183.84,193
W_W,67.5,30,74,8,1.0,2.75,19.25,183.84,193
W_W,40.0,4,74,8,1.0,2.75,19.25,183.84,193
Y2Ti2O7_O,16.6,100,8,4,0.636363636,2.258333333,4.97,15.999,48
Y2Ti2O7_O,47.0,293,8,4,0.636363636,2.258333333,4.97,15.999,48
Y2Ti2O7_Ti,34.8,100,22,6,0.181818182,1.96,4.97,47.867,176
Y2Ti2O7_Ti,16.0,293,22,6,0.181818182,1.96,4.97,47.867,176
Y2Ti2O7_Y,33.900000000000006,100,39,8,0.181818182,2.4075,4.97,88.905838,212
Y2Ti2O7_Y,8.4,293,39,8,0.181818182,2.4075,4.97,88.905838,212
Y3Al5O12_Al,52.0,300,13,5,0.25,1.85,4.56,26.9815384,118
Y3Al5O12_O,22.0,300,8,4,0.6,2.12,4.56,15.999,48
Y3Al5O12_Y,47.0,300,39,8,0.15,2.38,4.56,88.905838,212
Y4Zr3O12_O,18.33,300,8,3,0.63,2.24,5.48,15.999,48
Y4Zr3O12_Y,59.0,300,39,7,0.21,2.32,5.48,88.905838,212
Y4Zr3O12_Zr,54.5,300,40,6,0.16,2.21,5.48,91.224,206
YBa2Cu3O7_Ba,40.98,25,56,10,0.16,2.87,6.2,137.327,253
YBa2Cu3O7_Cu,17.62,25,29,4,0.22,1.88,6.2,63.546,145
YBa2Cu3O7_O,11.5,0,8,4,0.54,2.39,6.2,15.999,48
YBa2Cu3O7_O,18.8,25,8,4,0.54,2.39,6.2,15.999,48
YBa2Cu3O7_Y,38.97,25,39,8,0.08,2.41,6.2,88.905838,212
YSZ_O,120.0,293,8,4,0.66,2.2,6.21,15.999,48
YSZ_O,40.0,310,8,4,0.66,2.2,6.21,15.999,48
YSZ_Y,80.0,293,39,8,0.04,2.2,6.21,88.905838,212
YSZ_Zr,80.0,293,40,8,0.3,2.2,6.21,91.224,206
YSZ_Zr,80.0,310,40,8,0.3,2.2,6.21,91.224,206
ZnO_O,57.0,293,8,4,0.5,1.97,5.7,15.999,48
ZnO_O,57.0,313.15,8,4,0.5,1.97,5.7,15.999,48
ZnO_Zn,57.0,313.15,30,4,0.5,1.97,5.7,65.38,142
ZnS_S,20.2,77,16,4,0.5,2.33,4.14,32.06,88
ZnS_Zn,9.9,77,30,4,0.5,2.33,4.14,65.38,142
ZnSe_Se,8.2,10,34,4,0.5,2.45,5.28,78.971,103
ZnSe_Se,8.2,85,34,4,0.5,2.45,5.28,78.971,103
ZnSe_Zn,7.8,10,30,4,0.5,2.45,5.28,65.38,142
ZnSe_Zn,10.0,85,30,4,0.5,2.45,5.28,65.38,142
ZnTe_Te,6.7,77,52,4,0.5,2.65,5.62,127.6,123
ZnTe_Zn,7.0,77,30,4,0.5,2.65,5.62,65.38,142
Zn_Zn,14.5,5,30,12,1.0,2.87,7.14,65.38,142
ZrC3_C,18.0,300,6,4,0.67,2.21,6.3092,12.011,67
ZrC3_Zr,37.0,300,40,4,0.33,2.21,6.3092,91.224,206
ZrC_C,16.0,300,6,4,0.5,2.21,6.61,12.011,67
ZrC_Zr,37.0,300,40,4,0.5,2.21,6.61,91.224,206
ZrN_N,29.0,50,7,6,0.5,2.29,7.23,14.007,56
ZrN_Zr,33.0,50,40,6,0.5,2.29,7.23,91.224,206
ZrO2_O,23.0,100,8,4,0.67,2.2,6.21,15.999,48
ZrO2_Zr,59.63,100,40,8,0.33,2.2,6.21,91.224,206
ZrSiO4_O,64.42857143,10,8,3,0.666666667,2.01,4.63,15.999,48
ZrSiO4_O,56.0,300,8,3,0.666666667,2.01,4.63,15.999,48
ZrSiO4_Si,53.25,10,14,4,0.166666667,1.62,4.63,28.085,111
ZrSiO4_Si,85.6,300,14,4,0.166666667,1.62,4.63,28.085,111
ZrSiO4_Zr,129.1428571,10,40,8,0.166666667,2.205,4.63,91.224,206
ZrSiO4_Zr,95.0,300,40,8,0.166666667,2.205,4.63,91.224,206
Zr_Zr,55.0,0,40,12,1.0,3.22,6.511,91.224,206
Zr_Zr,21.0,7.5,40,12,1.0,3.22,6.511,91.224,206
Zr_Zr,28.0,8,40,12,1.0,3.22,6.511,91.224,206
